localidade,data,precipitacao,pressao_atmosferica,radiacao_solar_global,temperatura_bulbo_seco,temperatura_orvalho,umidade_relativa,velocidade_vento
BRASILIA,2019-09-28T00:00:00Z,0.4,887.27,1404.93,22.33,15.22,65.83,1.87
BRASILIA,2019-09-29T00:00:00Z,3.2,886.35,1844.41,23.78,15.75,63.75,1.84
BRASILIA,2019-09-30T00:00:00Z,0.0,885.91,1629.97,23.25,15.29,65.17,2.29
BRASILIA,2019-10-01T00:00:00Z,0.0,885.51,2001.56,24.73,13.18,51.5,2.53
BRASILIA,2019-10-02T00:00:00Z,0.0,886.1,2186.48,25.79,9.6,38.33,2.28
BRASILIA,2019-10-03T00:00:00Z,0.0,886.47,2143.06,26.01,8.52,35.96,1.71
BRASILIA,2019-10-04T00:00:00Z,0.0,886.0,2076.66,26.32,7.35,31.04,2.37
BRASILIA,2019-10-05T00:00:00Z,0.8,885.62,1523.27,24.55,13.05,51.0,2.14
BRASILIA,2019-10-06T00:00:00Z,0.0,886.18,1279.6,22.88,14.5,60.25,2.15
BRASILIA,2019-10-07T00:00:00Z,0.0,886.29,1393.73,23.45,15.17,60.96,1.7
BRASILIA,2019-10-08T00:00:00Z,0.8,885.87,1629.19,23.9,15.55,62.67,2.12
BRASILIA,2019-10-09T00:00:00Z,2.2,886.6,1484.85,22.94,15.76,68.12,2.76
BRASILIA,2019-10-10T00:00:00Z,0.4,886.11,1907.87,24.42,13.44,55.5,2.52
BRASILIA,2019-10-11T00:00:00Z,0.6,887.57,1245.81,23.05,13.17,56.88,3.33
BRASILIA,2019-10-12T00:00:00Z,0.0,887.58,1626.16,25.07,11.42,45.33,2.65
BRASILIA,2019-10-13T00:00:00Z,0.0,886.39,2052.53,25.6,6.15,31.29,2.61
BRASILIA,2019-10-14T00:00:00Z,0.0,886.35,1939.61,25.19,5.01,28.88,2.52
BRASILIA,2019-10-15T00:00:00Z,0.0,886.7,1982.5,25.59,4.97,28.83,2.37
BRASILIA,2019-10-16T00:00:00Z,0.0,886.8,1891.47,26.76,6.63,28.25,2.92
BRASILIA,2019-10-17T00:00:00Z,0.0,887.34,1795.83,26.43,8.83,33.54,2.58
BRASILIA,2019-10-18T00:00:00Z,0.0,887.22,2043.98,25.9,9.0,36.25,1.99
BRASILIA,2019-10-19T00:00:00Z,0.0,886.06,2099.13,26.3,6.81,32.21,1.65
BRASILIA,2019-10-20T00:00:00Z,0.0,884.22,1470.71,26.67,9.88,36.12,1.9
BRASILIA,2019-10-21T00:00:00Z,0.6,884.71,677.62,22.7,15.3,64.46,2.23
BRASILIA,2019-10-22T00:00:00Z,6.6,884.8,1324.38,21.96,16.23,72.04,2.13
BRASILIA,2019-10-23T00:00:00Z,1.4,885.38,1216.66,21.41,17.19,78.46,1.75
BRASILIA,2019-10-24T00:00:00Z,1.2,886.52,1070.74,21.4,16.88,76.92,1.82
BRASILIA,2019-10-25T00:00:00Z,0.0,886.81,1562.68,23.89,15.2,61.79,1.9
BRASILIA,2019-10-26T00:00:00Z,1.2,887.29,1729.54,22.93,15.46,65.29,2.4
BRASILIA,2019-10-27T00:00:00Z,0.6,887.32,867.74,23.05,15.31,63.96,1.81
BRASILIA,2019-10-28T00:00:00Z,0.4,886.55,1617.92,24.74,13.33,53.54,2.1
BRASILIA,2019-10-29T00:00:00Z,1.0,885.63,1474.32,24.48,12.56,50.67,2.37
BRASILIA,2019-10-30T00:00:00Z,5.0,885.7,1425.07,23.72,13.81,55.71,2.39
BRASILIA,2019-10-31T00:00:00Z,0.0,886.38,2025.38,24.57,12.4,51.83,2.21
BRASILIA,2019-11-01T00:00:00Z,0.0,886.01,1751.32,25.56,11.29,45.04,1.79
BRASILIA,2019-11-02T00:00:00Z,0.0,885.83,1516.28,24.3,14.11,54.88,2.7
