localidade,cultura,ano,indicador,custo
PASSO FUNDO,TRIGO,2022,CUSTEIO  DA LAVOURA,5180.39
PASSO FUNDO,TRIGO,2022,OUTRAS DESPESAS,996.02
PASSO FUNDO,TRIGO,2022,DESPESAS FINANCEIRAS,189.37
PASSO FUNDO,TRIGO,2022,DEPRECIACOES,491.04
PASSO FUNDO,TRIGO,2022,OUTROS CUSTOS FIXOS,920.85
PASSO FUNDO,TRIGO,2022,RENDA DE FATORES,950.92
PASSO FUNDO,TRIGO,2022,PRODUTIVIDADE MEDIA,3420.0
PASSO FUNDO,TRIGO,2023,CUSTEIO  DA LAVOURA,3796.38
PASSO FUNDO,TRIGO,2023,OUTRAS DESPESAS,818.78
PASSO FUNDO,TRIGO,2023,DESPESAS FINANCEIRAS,199.34
PASSO FUNDO,TRIGO,2023,DEPRECIACOES,571.37
PASSO FUNDO,TRIGO,2023,OUTROS CUSTOS FIXOS,808.56
PASSO FUNDO,TRIGO,2023,RENDA DE FATORES,1721.01
PASSO FUNDO,TRIGO,2023,PRODUTIVIDADE MEDIA,3420.0
PANAMBI,TRIGO,2007,CUSTEIO  DA LAVOURA,779.16
PANAMBI,TRIGO,2007,OUTRAS DESPESAS,115.01
PANAMBI,TRIGO,2007,DESPESAS FINANCEIRAS,29.76
PANAMBI,TRIGO,2007,DEPRECIACOES,101.53
PANAMBI,TRIGO,2007,OUTROS CUSTOS FIXOS,45.05
PANAMBI,TRIGO,2007,RENDA DE FATORES,329.98
PANAMBI,TRIGO,2007,PRODUTIVIDADE MEDIA,2100.0
TUPACIRETA,TRIGO,2007,CUSTEIO  DA LAVOURA,779.16
TUPACIRETA,TRIGO,2007,OUTRAS DESPESAS,115.01
TUPACIRETA,TRIGO,2007,DESPESAS FINANCEIRAS,29.76
TUPACIRETA,TRIGO,2007,DEPRECIACOES,101.53
TUPACIRETA,TRIGO,2007,OUTROS CUSTOS FIXOS,45.05
TUPACIRETA,TRIGO,2007,RENDA DE FATORES,329.98
TUPACIRETA,TRIGO,2007,PRODUTIVIDADE MEDIA,2100.0
JULIO DE CASTILHO,TRIGO,2007,CUSTEIO  DA LAVOURA,779.16
JULIO DE CASTILHO,TRIGO,2007,OUTRAS DESPESAS,115.01
JULIO DE CASTILHO,TRIGO,2007,DESPESAS FINANCEIRAS,29.76
JULIO DE CASTILHO,TRIGO,2007,DEPRECIACOES,101.53
JULIO DE CASTILHO,TRIGO,2007,OUTROS CUSTOS FIXOS,45.05
JULIO DE CASTILHO,TRIGO,2007,RENDA DE FATORES,329.98
JULIO DE CASTILHO,TRIGO,2007,PRODUTIVIDADE MEDIA,2100.0
PANAMBI,TRIGO,2008,CUSTEIO  DA LAVOURA,1060.41
PANAMBI,TRIGO,2008,OUTRAS DESPESAS,135.91
PANAMBI,TRIGO,2008,DESPESAS FINANCEIRAS,43.83
PANAMBI,TRIGO,2008,DEPRECIACOES,124.27
PANAMBI,TRIGO,2008,OUTROS CUSTOS FIXOS,48.43
PANAMBI,TRIGO,2008,RENDA DE FATORES,396.3
PANAMBI,TRIGO,2008,PRODUTIVIDADE MEDIA,2100.0
TUPACIRETA,TRIGO,2008,CUSTEIO  DA LAVOURA,1060.41
TUPACIRETA,TRIGO,2008,OUTRAS DESPESAS,135.91
TUPACIRETA,TRIGO,2008,DESPESAS FINANCEIRAS,43.83
TUPACIRETA,TRIGO,2008,DEPRECIACOES,124.27
TUPACIRETA,TRIGO,2008,OUTROS CUSTOS FIXOS,48.43
TUPACIRETA,TRIGO,2008,RENDA DE FATORES,396.3
TUPACIRETA,TRIGO,2008,PRODUTIVIDADE MEDIA,2100.0
JULIO DE CASTILHO,TRIGO,2008,CUSTEIO  DA LAVOURA,1060.41
JULIO DE CASTILHO,TRIGO,2008,OUTRAS DESPESAS,135.91
JULIO DE CASTILHO,TRIGO,2008,DESPESAS FINANCEIRAS,43.83
JULIO DE CASTILHO,TRIGO,2008,DEPRECIACOES,124.27
JULIO DE CASTILHO,TRIGO,2008,OUTROS CUSTOS FIXOS,48.43
JULIO DE CASTILHO,TRIGO,2008,RENDA DE FATORES,396.3
JULIO DE CASTILHO,TRIGO,2008,PRODUTIVIDADE MEDIA,2100.0
CRUZ ALTA,TRIGO,2009,CUSTEIO  DA LAVOURA,761.67
CRUZ ALTA,TRIGO,2009,OUTRAS DESPESAS,116.06
CRUZ ALTA,TRIGO,2009,DESPESAS FINANCEIRAS,905.85
CRUZ ALTA,TRIGO,2009,DEPRECIACOES,135.11
CRUZ ALTA,TRIGO,2009,OUTROS CUSTOS FIXOS,54.67
CRUZ ALTA,TRIGO,2009,RENDA DE FATORES,402.13
CRUZ ALTA,TRIGO,2009,PRODUTIVIDADE MEDIA,2100.0
PANAMBI,TRIGO,2009,CUSTEIO  DA LAVOURA,761.67
